MARQUEZ Marc,,,25,25,25,25,25,25,25,25,13,25,1,3,20,0,25,25,,,25,0,25,50,75,100,125,150,175,200,213,238,239,242,262,262,287,312,,312
ROSSI Valentino,,,13,20,20,16,20,11,13,16,16,16,25,0,16,25,20,20,,,26,0,13,33,53,69,89,100,113,129,145,161,186,186,202,227,247,267,,267
LORENZO Jorge,,,16,13,10,20,13,3,16,20,20,20,20,25,25,20,16,0,,,27,0,16,29,39,59,72,75,91,111,131,151,171,196,221,241,257,257,,257
PEDROSA Dani,,,20,16,11,13,16,16,20,13,25,13,16,2,13,0,0,16,,,28,0,20,36,47,60,76,92,112,125,150,163,179,181,194,194,194,210,,210
DOVIZIOSO Andrea,,,7,11,8,10,8,20,8,9,10,11,13,0,11,13,8,13,,,29,0,7,18,26,36,44,64,72,81,91,102,115,115,126,139,147,160,,160
ESPARGARO Pol,,,8,7,13,11,9,0,9,11,0,10,10,10,8,0,10,10,,,30,0,8,15,28,39,48,48,57,68,68,78,88,98,106,106,116,126,,126
ESPARGARO Aleix,,,1,9,7,7,10,13,10,0,8,7,0,20,5,0,0,9,,,31,0,1,10,17,24,34,47,57,57,65,72,72,92,97,97,97,106,,106
SMITH Bradley,,,9,8,6,0,6,8,0,10,7,0,9,11,7,16,11,2,,,32,0,9,17,23,23,29,37,37,47,54,54,63,74,81,97,108,110,,110
BRADL Stefan,,,11,6,9,0,11,6,0,0,9,9,0,13,9,0,13,8,,,33,0,11,17,26,26,37,43,43,43,52,61,61,74,83,83,96,104,,104
IANNONE Andrea,,,10,0,0,9,7,10,11,0,11,8,11,0,10,0,0,0,,,34,0,10,10,10,19,26,36,47,47,58,66,77,77,87,87,87,87,,87
BAUTISTA Alvaro,,,0,10,16,8,0,9,7,0,6,0,8,9,6,10,0,0,,,35,0,0,10,26,34,34,43,50,50,56,56,64,73,79,89,89,89,,89
REDDING Scott,,,2,3,4,3,3,4,5,7,5,6,3,6,0,9,6,6,,,36,0,2,5,9,12,15,19,24,31,36,42,45,51,51,60,66,72,,72
CRUTCHLOW Cal,,,0,0,5,0,0,7,6,8,0,4,7,16,0,0,0,11,,,37,0,0,0,5,5,5,12,18,26,26,30,37,53,53,53,53,64,,64
AOYAMA Hiroshi,,,6,4,2,2,1,0,4,6,3,2,4,8,3,8,5,1,,,38,0,6,10,12,14,15,15,19,25,28,30,34,42,45,53,58,59,,59
HERNANDEZ Yonny,,,4,2,3,6,5,0,0,0,0,5,6,1,0,5,9,0,,,39,0,4,6,9,15,20,20,20,20,20,25,31,32,32,37,46,46,,46
HAYDEN Nicky,,,5,5,0,0,4,0,2,0,0,0,0,7,2,6,0,3,,,40,0,5,10,10,10,14,14,16,16,16,16,16,23,25,31,31,34,,34
ABRAHAM Karel,,,3,0,1,4,0,2,3,5,2,3,5,0,0,0,0,0,,,41,0,3,3,4,8,8,10,13,18,20,23,28,28,28,28,28,28,,28
BARBERA Hector,,,0,1,0,0,0,0,0,0,0,0,0,0,1,11,7,5,,,42,0,0,1,1,1,1,1,1,1,1,1,1,1,2,13,20,25,,25
PIRRO Michele,,,0,0,0,5,2,0,0,0,4,0,0,0,0,0,0,7,,,43,0,0,0,0,5,7,7,7,7,11,11,11,11,11,11,11,18,,18
PETRUCCI Danilo,,,0,0,0,0,0,1,1,0,0,0,0,5,0,4,0,4,,,44,0,0,0,0,0,0,1,2,2,2,2,2,7,7,11,11,15,,15
DE ANGELIS Alex,,,0,0,0,0,0,0,0,0,0,1,2,4,0,7,0,0,,,45,0,0,0,0,0,0,0,0,0,0,1,3,7,7,14,14,14,,14
EDWARDS Colin,,,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,,,46,0,0,0,0,1,1,1,1,4,4,4,4,4,4,4,4,4,,4
PARKES Broc,,,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,,,47,0,0,0,0,0,0,5,5,6,6,6,6,6,6,6,8,8,,8
LAVERTY Michael,,,0,0,0,0,0,0,0,2,0,0,0,0,0,3,4,0,,,48,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,9,9,,9
DI MEGLIO Mike,,,0,0,0,0,0,0,0,4,0,0,0,0,0,2,3,0,,,49,0,0,0,0,0,0,0,0,4,4,4,4,4,4,6,9,9,,9
NAKASUGA Katsuyuki,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,,4
CAMIER Leon,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,51,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,1
